timestamp,nodes,edges,components,density,bridges,diameter,transitivity,average_clustering,degree_assortativity,label_communities,lpa_communities,label_non_randomness,lpa_non_randomness,label_relative_non_randomness,lpa_relative_non_randomness
20191008,4690,28482,1,0.002590284115479635,1378,7,0.07393434932770769,0.2829732497947999,-0.28943497750802194,15,19,33.332884708792974,33.56272015199514,-154.0376947240847,-161.14594515863453
20191009,4687,28294,1,0.002576481966584047,1385,6,0.07350639719539048,0.2821309343238079,-0.2882208605904641,9,17,77.54238328025596,32.838051751232996,-62.49145511158782,-157.84792384154406
20191010,4680,28160,1,0.002571957263130591,1389,6,0.07354624330810412,0.2826938195947897,-0.28876426876945693,13,17,32.30414212569169,32.73111059774666,-148.9568818908618,-157.51244760413962
20191013,4526,27555,1,0.0026908982600225098,1248,7,0.07326093809224203,0.292036319798871,-0.2905823143851122,12,19,54.019901315903795,32.80799666709372,-119.61392385654374,-159.2031320214311
20191014,4545,27625,1,0.0026752235082663197,1260,8,0.07302774816954198,0.2923287747849736,-0.2904422107897595,19,22,32.75269638351811,51.63368543995472,-159.40841567364564,-151.1633270100965
20191016,4615,28121,1,0.002641261862126713,1286,7,0.07220856035537687,0.29012238420244857,-0.291550107187057,14,18,53.08696663785119,52.00023519352609,-131.0671328957081,-144.28514453426533
20191021,4628,27906,1,0.0026063620039380292,1305,7,0.07246512135878824,0.2930732098810453,-0.2924147572514669,12,20,54.388892491002935,51.90235771226076,-119.47632356262608,-147.86708440548384
20191022,4635,28009,1,0.0026080855400657118,1300,7,0.07249160124394068,0.2937540238410216,-0.29254957583769436,13,20,32.330715692723395,52.01830023542953,-148.6626786222063,-148.1110056810803
20191023,4642,28110,1,0.002609601159921762,1302,7,0.07271325632283135,0.29403295699848275,-0.29338807559631047,7,17,77.74834534328807,32.301535915661475,-27.892732793287703,-157.86860973495703
20191024,4651,28182,1,0.0026061686352570725,1297,7,0.07270816320948968,0.29384539042697744,-0.292963386125219,13,19,32.61719290002459,71.5629270167625,-148.86843508595788,-131.96752467910247
20191027,4676,28424,1,0.002600513259195894,1302,7,0.07277007822195442,0.293816751848428,-0.29255613639972766,12,18,54.91014128770318,52.50367131968203,-120.39231988249325,-144.56624086772675
20191028,4682,28434,1,0.0025947642413855316,1308,7,0.07270226419937945,0.294082310843757,-0.29243858183903704,11,17,77.39282880067525,32.48926566181762,-85.69694174485784,-158.64777224403932
20191030,4685,28319,1,0.0025809609132841243,1320,7,0.07151388939592007,0.28781264860078004,-0.2935173920398257,10,14,99.9091570702596,52.94736604079161,-43.43367001973928,-131.30469218894257
20191104,4689,28352,1,0.0025795613435555,1323,7,0.07085717530429565,0.2851682208940975,-0.2924918661690243,10,16,99.88654441584066,11.417446220929953,-43.53010152169258,-175.1573953262636
20191105,4651,27988,1,0.002588228222396386,1307,7,0.07056607042858326,0.2862592580507987,-0.2930467567661559,9,14,76.58771276175042,52.49186897699907,-63.346329784264974,-130.80653118280296
20191106,4652,27937,1,0.0025824012180925044,1310,7,0.07037735342326411,0.2864541071614647,-0.2926532255973592,10,16,99.2618271496581,11.391409020392587,-43.178645577729164,-173.92050185919766
20191107,4658,27989,1,0.002580546300609995,1315,7,0.07034188630437364,0.28660318659256756,-0.29258868488457174,9,17,76.64695906784459,31.5213589350884,-63.13914507302403,-158.0432750910311
